Threads, Time (seconds)
256, Running with 256 MPI processes.
Process 152 finished computations at 24.9466 seconds.
Process 174 finished computations at 24.9534 seconds.
Process 125 finished computations at 24.9443 seconds.
Process 135 finished computations at 24.959 seconds.
Process 75 finished computations at 24.9501 seconds.
Process 80 finished computations at 24.961 seconds.
Process 149 finished computations at 24.9613 seconds.
Process 22 finished computations at 24.9629 seconds.
Process 186 finished computations at 24.9587 seconds.
Process 18 finished computations at 24.966 seconds.
Process 35 finished computations at 24.9787 seconds.
Process 24 finished computations at 24.9882 seconds.
Process 8 finished computations at 25.0007 seconds.
Process 147 finished computations at 25.0006 seconds.
Process 7 finished computations at 25.0072 seconds.
Process 191 finished computations at 25.0114 seconds.
Process 84 finished computations at 25.011 seconds.
Process 57 finished computations at 25.0131 seconds.
Process 119 finished computations at 25.0078 seconds.
Process 17 finished computations at 25.0171 seconds.
Process 71 finished computations at 25.0146 seconds.
Process 166 finished computations at 25.0089 seconds.
Process 88 finished computations at 25.0297 seconds.
Process 188 finished computations at 25.0348 seconds.
Process 95 finished computations at 25.0457 seconds.
Process 101 finished computations at 25.0442 seconds.
Process 99 finished computations at 25.0663 seconds.
Process 86 finished computations at 25.076 seconds.
Process 139 finished computations at 25.0885 seconds.
Process 14 finished computations at 25.091 seconds.
Process 124 finished computations at 25.0897 seconds.
Process 91 finished computations at 25.0889 seconds.
Process 121 finished computations at 25.0891 seconds.
Process 100 finished computations at 25.0901 seconds.
Process 138 finished computations at 25.0988 seconds.
Process 49 finished computations at 25.0955 seconds.
Process 60 finished computations at 25.1101 seconds.
Process 76 finished computations at 25.1135 seconds.
Process 96 finished computations at 25.1175 seconds.
Process 10 finished computations at 25.125 seconds.
Process 77 finished computations at 25.1207 seconds.
Process 167 finished computations at 25.1312 seconds.
Process 107 finished computations at 25.1503 seconds.
Process 15 finished computations at 25.1459 seconds.
Process 120 finished computations at 25.1523 seconds.
Process 13 finished computations at 25.1579 seconds.
Process 39 finished computations at 25.1616 seconds.
Process 28 finished computations at 25.163 seconds.
Process 159 finished computations at 25.1672 seconds.
Process 83 finished computations at 25.1677 seconds.
Process 6 finished computations at 25.1694 seconds.
Process 128 finished computations at 25.1873 seconds.
Process 109 finished computations at 25.1937 seconds.
Process 122 finished computations at 25.2088 seconds.
Process 1 finished computations at 25.2152 seconds.
Process 67 finished computations at 25.2232 seconds.
Process 69 finished computations at 25.2284 seconds.
Process 85 finished computations at 25.2276 seconds.
Process 123 finished computations at 25.2337 seconds.
Process 133 finished computations at 25.2364 seconds.
Process 27 finished computations at 25.2423 seconds.
Process 129 finished computations at 25.2446 seconds.
Process 73 finished computations at 25.2584 seconds.
Process 93 finished computations at 25.2572 seconds.
Process 142 finished computations at 25.2597 seconds.
Process 113 finished computations at 25.2595 seconds.
Process 48 finished computations at 25.2694 seconds.
Process 81 finished computations at 25.2746 seconds.
Process 72 finished computations at 25.2778 seconds.
Process 115 finished computations at 25.2953 seconds.
Process 54 finished computations at 25.2957 seconds.
Process 38 finished computations at 25.3048 seconds.
Process 19 finished computations at 25.3073 seconds.
Process 5 finished computations at 25.3086 seconds.
Process 31 finished computations at 25.321 seconds.
Process 78 finished computations at 25.323 seconds.
Process 160 finished computations at 25.33 seconds.
Process 4 finished computations at 25.3306 seconds.
Process 97 finished computations at 25.3292 seconds.
Process 50 finished computations at 25.3488 seconds.
Process 42 finished computations at 25.328 seconds.
